medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source
dsmz_1699_composition	KH2PO4	PubChem:23710200						json
dsmz_1699_composition	MgCl2 6-hydrate							json
dsmz_1699_composition	CaCl2 2-hydrate							json
dsmz_1699_composition	NaNO3	CAS-RN:7631-99-4						json
dsmz_1699_composition	Modified Wolin's mineral solution	solution:241						json
dsmz_1699_composition	MgSO4 7-hydrate							json
dsmz_1699_composition	MnSO4 x H2O	ingredient:1000						json
dsmz_1699_composition	FeSO4 7-hydrate							json
dsmz_1699_composition	CoSO4 7-hydrate							json
dsmz_1699_composition	ZnSO4 7-hydrate							json
dsmz_1699_composition	CuSO4 5-hydrate							json
dsmz_1699_composition	Na2MoO4 2-hydrate							json
dsmz_1699_composition	NiCl2 6-hydrate							json
dsmz_1699_composition	Na2SeO3 5-hydrate							json
dsmz_1699_composition	Na2WO4 2-hydrate							json
dsmz_104b_composition	Trypticase peptone		5.0		g/L			json
dsmz_104b_composition	Meat peptone		5.0		g/L			json
dsmz_104b_composition	Yeast extract	CAS-RN:8013-01-2	10.0		g/L			json
dsmz_104b_composition	Salt solution	solution:6218	40.0		ml/L			json
dsmz_104b_composition	Sodium resazurin	CAS-RN:62758-13-8	0.5		ml/L			json
dsmz_104b_composition	L-Cysteine HCl x H2O	ingredient:983	0.5		g/L			json
dsmz_104b_composition	autoclaving		1.0		ml/L			json
dsmz_104b_composition	CaCl2 2-hydrate							json
dsmz_104b_composition	MgSO4 7-hydrate							json
dsmz_104b_composition	KH2PO4	PubChem:23710200						json
dsmz_886_composition	KH2PO4	PubChem:23710200	0.5		g/L			json
dsmz_886_composition	MgCl2 6-hydrate		0.6		g/L			json
dsmz_886_composition	Yeast extract	CAS-RN:8013-01-2	0.5		g/L			json
dsmz_886_composition	Na2S 9-hydrate		0.4		g/L			json
dsmz_886_composition	ZnSO4 7-hydrate							json
dsmz_886_composition	MnCl2 4-hydrate							json
dsmz_886_composition	CoCl2 6-hydrate							json
dsmz_886_composition	CuCl2 2-hydrate							json
dsmz_886_composition	NiCl2 6-hydrate							json
dsmz_886_composition	Na2MoO4 2-hydrate							json
dsmz_959a_composition	MgCl2 6-hydrate		0.5		g/L			json
dsmz_959a_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_959a_composition	KH2PO4	PubChem:23710200	0.35		g/L			json
dsmz_959a_composition	Yeast extract	CAS-RN:8013-01-2	0.35		g/L			json
dsmz_959a_composition	Trypticase peptone		2.72		g/L			json
dsmz_959a_composition	Sodium resazurin	CAS-RN:62758-13-8	2.0		g/L			json
dsmz_959a_composition	Na2S 9-hydrate		2.0		g/L			json
dsmz_860_composition	KH2PO4	PubChem:23710200	0.3		g/L			json
dsmz_860_composition	MgCl2 6-hydrate		0.2		g/L			json
dsmz_860_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_860_composition	Yeast extract	CAS-RN:8013-01-2	1.0		g/L			json
dsmz_860_composition	Sodium resazurin	CAS-RN:62758-13-8	1.5		ml/L			json
dsmz_860_composition	L-Cysteine HCl x H2O	ingredient:983	4.0		g/L			json
dsmz_860_composition	Na2S 9-hydrate		0.5		g/L			json
dsmz_860_composition	FeCl2 4-hydrate							json
dsmz_860_composition	MnCl2 4-hydrate							json
dsmz_860_composition	CoCl2 6-hydrate							json
dsmz_860_composition	CuCl2 2-hydrate							json
dsmz_860_composition	NiCl2 6-hydrate							json
dsmz_860_composition	Na2MoO4 2-hydrate							json
dsmz_1247_composition	Yeast extract	CAS-RN:8013-01-2	3.0		g/L			json
dsmz_1247_composition	Beef extract	ingredient:85	2.0		g/L			json
