medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l
1	solution → The medium may be solidified by adding		0.15		g			solution_expansion		0							unmapped	none	solution → The medium may be solidified by adding	solution→Themediummaybesolidifiedbyadding	0.0	solution→Themediummaybesolidifiedbyadding				anhydrous	no_hydration	high	The medium may be solidified by adding	100.0	0.0	100.0	1.5
1	solution → adding		0.15		g			solution_expansion		0							unmapped	none	solution → adding	solution→adding	0.0	solution→adding				anhydrous	no_hydration	high	adding	100.0	0.0	100.0	1.5
2	solution → The medium may be solidified by adding		0.0075		g			solution_expansion		0							unmapped	none	solution → The medium may be solidified by adding	solution→Themediummaybesolidifiedbyadding	0.0	solution→Themediummaybesolidifiedbyadding				anhydrous	no_hydration	high	The medium may be solidified by adding	100.0	0.0	100.0	0.075
2	solution → adding		0.0075		g			solution_expansion		0							unmapped	none	solution → adding	solution→adding	0.0	solution→adding				anhydrous	no_hydration	high	adding	100.0	0.0	100.0	0.075
3	solution → The medium may be solidified by adding		0.075		g			solution_expansion		0							unmapped	none	solution → The medium may be solidified by adding	solution→Themediummaybesolidifiedbyadding	0.0	solution→Themediummaybesolidifiedbyadding				anhydrous	no_hydration	high	The medium may be solidified by adding	100.0	0.0	100.0	0.75
3	solution → adding		0.075		g			solution_expansion		0							unmapped	none	solution → adding	solution→adding	0.0	solution→adding				anhydrous	no_hydration	high	adding	100.0	0.0	100.0	0.75
4	solution → The medium may be solidified by adding		0.2917499999999999		g			solution_expansion		0							unmapped	none	solution → The medium may be solidified by adding	solution→Themediummaybesolidifiedbyadding	0.0	solution→Themediummaybesolidifiedbyadding				anhydrous	no_hydration	high	The medium may be solidified by adding	100.0	0.0	100.0	2.9175
4	solution → adding		0.2917499999999999		g			solution_expansion		0							unmapped	none	solution → adding	solution→adding	0.0	solution→adding				anhydrous	no_hydration	high	adding	100.0	0.0	100.0	2.9175
5	solution → The medium may be solidified by adding		0.12		g		False	solution_expansion		0							unmapped	none	solution → The medium may be solidified by adding	solution→Themediummaybesolidifiedbyadding	0.0	solution→Themediummaybesolidifiedbyadding				anhydrous	no_hydration	high	The medium may be solidified by adding	100.0	0.0	100.0	1.2
5	solution → adding		0.12		g		False	solution_expansion		0							unmapped	none	solution → adding	solution→adding	0.0	solution→adding				anhydrous	no_hydration	high	adding	100.0	0.0	100.0	1.2
atcc_D3547D63F887423DAFB39841A5B588B9_composition	Agar Noble		10.0		g			json		0							unmapped	none	Agar Noble	AgarNoble		AgarNoble					no_hydration	high		100.0	0.0	100.0	100.0
atcc_D3547D63F887423DAFB39841A5B588B9_composition	DI Water		1000.0		ml			json		0							unmapped	none	DI Water	DIWater		DIWater					no_hydration	high		100.0	0.0	100.0	10000.0
ccap_2ASW_composition	(3)  Soil Extract 1 (See SE1 recipe)		1.0		g			json		0							unmapped	none	(3)  Soil Extract 1 (See SE1 recipe)	(3)SoilExtract1(SeeSE1recipe)		(3)SoilExtract1(SeeSE1recipe)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	**Waterlife Research Industries Ltd, 476 Bath Road, Longford, West Drayton, Middlesex UB7		1.0		g			json		0							unmapped	none	**Waterlife Research Industries Ltd, 476 Bath Road, Longford, West Drayton, Middlesex UB7	**WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,MiddlesexUB7		**WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,MiddlesexUB7					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	*Alternatively, use deionised water to 1 litre and 33.6 g “Ultramarine Synthetica” sea salts.**		33.6		g			json		0							unmapped	none	*Alternatively, use deionised water to 1 litre and 33.6 g “Ultramarine Synthetica” sea salts.**	*Alternatively,usedeionisedwaterto1litreand33.6g“UltramarineSynthetica”seasalts.**		*Alternatively,usedeionisedwaterto1litreand33.6g“UltramarineSynthetica”seasalts.**					no_hydration	high		100.0	0.0	100.0	336.0
ccap_2ASW_composition	0ED, UK. Tel (01753) 685696 Fax (01753) 685437 aquatics@waterlife.co.uk		1.0		g			json		0							unmapped	none	0ED, UK. Tel (01753) 685696 Fax (01753) 685437 aquatics@waterlife.co.uk	0ED,UK.Tel(01753)685696Fax(01753)685437aquatics@waterlife.co.uk		0ED,UK.Tel(01753)685696Fax(01753)685437aquatics@waterlife.co.uk					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	CCAP (Culture Collection of Algae and Protozoa), SAMS Ltd,		1.0		g			json		0							unmapped	none	CCAP (Culture Collection of Algae and Protozoa), SAMS Ltd,	CCAP(CultureCollectionofAlgaeandProtozoa),SAMSLtd,		CCAP(CultureCollectionofAlgaeandProtozoa),SAMSLtd,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk		1.0		g			json		0							unmapped	none	Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk	Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk		Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	HCl, prior to autoclaving. Autoclave at 15 psi for 15 minutes.		1.0		g			json		0							unmapped	none	HCl, prior to autoclaving. Autoclave at 15 psi for 15 minutes.	HCl,priortoautoclaving.Autoclaveat15psifor15minutes.		HCl,priortoautoclaving.Autoclaveat15psifor15minutes.					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	L. Provasoli; J. J. A. McLaughlin; M. R. Droop (1957). The development of artificial media for		1.0		g			json		0							unmapped	none	L. Provasoli; J. J. A. McLaughlin; M. R. Droop (1957). The development of artificial media for	L.Provasoli;J.J.A.McLaughlin;M.R.Droop(1957).Thedevelopmentofartificialmediafor		L.Provasoli;J.J.A.McLaughlin;M.R.Droop(1957).Thedevelopmentofartificialmediafor					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	Reference		1.0		g			json		0							unmapped	none	Reference	Reference		Reference					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	Reviewed: 17th January 2025		1.0		g			json		0							unmapped	none	Reviewed: 17th January 2025	Reviewed:17thJanuary2025		Reviewed:17thJanuary2025					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	Scottish Marine Institute, Oban, Argyll, PA37 1QA, UK		1.0		g			json		0							unmapped	none	Scottish Marine Institute, Oban, Argyll, PA37 1QA, UK	ScottishMarineInstitute,Oban,Argyll,PA371QA,UK		ScottishMarineInstitute,Oban,Argyll,PA371QA,UK					no_hydration	high		100.0	0.0	100.0	10.0
