original	mapped	chebi_label	chebi_formula
Pyridoxal phosphate	CHEBI:18405	pyridoxal 5'-phosphate	C8H10NO6P
(NH4)HCO3	CHEBI:184335		
NH4HCO3	CHEBI:184335		
CAPS buffer	CHEBI:191088		
Ferrihydrite	CHEBI:192761		
Ascorbic acid	CHEBI:22652	ascorbic acid	
Sodium DL-lactate	CHEBI:232798	sodium L-lactate	C3H5O3.Na
Na-(L)-lactate	CHEBI:232798		
Na-lactate	CHEBI:232798		
Na-L-lactate	CHEBI:232798		
Sodium L-lactate	CHEBI:232798	sodium L-lactate	C3H5O3.Na
CuSO4	CHEBI:23414	copper(II) sulfate	Cu.O4S
Copper Sulfate	CHEBI:23414	copper(II) sulfate	Cu.O4S
Sodium palmitate	CHEBI:234557		
Na gluconate	CHEBI:24265	gluconate	C6H11O7
Inositol	CHEBI:24848	inositol	C6H12O6
Agar	CHEBI:2509	agar	
(Agar	CHEBI:2509	agar	
agar	CHEBI:2509	agar	
agarose	CHEBI:2511	agarose	(C12H18O9)n.C12H20O10
Agarose	CHEBI:2511	agarose	(C12H18O9)n.C12H20O10
Malate	CHEBI:25115	malate	
DL-Mevalonic acid	CHEBI:25351	mevalonic acid	C6H12O4
DL-mevalonic acid	CHEBI:25351	mevalonic acid	C6H12O4
Nitrilotriacetate (NTA)	CHEBI:25548	nitrilotriacetate(3-)	C6H6NO6
Quinic acid	CHEBI:26493	quinic acid	
Nacl	CHEBI:26710	sodium chloride	Cl.Na
NaCl	CHEBI:26710	sodium chloride	Cl.Na
NaCL	CHEBI:26710	sodium chloride	Cl.Na
Na-succinate	CHEBI:26806	succinate	
Na Succinate	CHEBI:26806	succinate	
Succinate	CHEBI:26806	succinate	
Sulfur	CHEBI:26833	sulfur atom	S
H2SO4	CHEBI:26836	sulfuric acid	H2O4S
Thiamine	CHEBI:26948	vitamin B1	
1,4-Naphthoquinone	CHEBI:27418	1,4-naphthoquinone	C10H6O2
Folic Acid	CHEBI:27470	folic acid	C19H19N7O6
Folic acid	CHEBI:27470	folic acid	C19H19N7O6
Folic Acid	CHEBI:27470	folic acid	C19H19N7O6
DL-Histidine	CHEBI:27570	histidine	C6H9N3O2
Histidine	CHEBI:27570	histidine	C6H9N3O2
Cyclohexemid	CHEBI:27641	cycloheximide	C15H23NO4
Pullulan	CHEBI:27941	pullulan	(C37H62O30)n
N-Acetyl-D-glucosamine (Sigma)	CHEBI:28009	N-acetyl-beta-D-glucosamine	C8H15NO6
N-Acetyl Glucosamine	CHEBI:28009	N-acetyl-beta-D-glucosamine	C8H15NO6
Corn starch	CHEBI:28017		
Rice starch	CHEBI:28017		
Melibiose	CHEBI:28053	melibiose	C12H22O11
Galactose	CHEBI:28260	galactose	C6H12O6
Dimethyl sulfoxide	CHEBI:28262	dimethyl sulfoxide	C2H6OS
Isovaleric acid	CHEBI:28484	isovaleric acid	C5H10O2
3-Methyl-butyric acid	CHEBI:28484	isovaleric acid	C5H10O2
Triethanolamine	CHEBI:28621	triethanolamine	C6H15NO3
Fructose	CHEBI:28645	beta-D-fructofuranose	C6H12O6
Dextrin	CHEBI:28675	dextrin	
NaF	CHEBI:28741	sodium fluoride	F.Na
Stearic acid	CHEBI:28842	octadecanoic acid	C18H36O2
Cobalamine	CHEBI:28911		
Cobalamin (B12)	CHEBI:28911	cob(III)alamin	C62H88CoN13O14P
Na-ampicillin	CHEBI:28971	ampicillin	C16H19N3O4S
Ca-pantothenate	CHEBI:29032	(R)-pantothenate	C9H16NO5
Ca pantotenate	CHEBI:29032	(R)-pantothenate	C9H16NO5
Ca-Pantothenate	CHEBI:29032	(R)-pantothenate	C9H16NO5
L-Ascorbic acid	CHEBI:29073	L-ascorbic acid	C6H8O6
Sodium carbonate	CHEBI:29377	sodium carbonate	CO3.2Na
Na2CO3	CHEBI:29377	sodium carbonate	CO3.2Na
NaCO3	CHEBI:29377		
Mannitol	CHEBI:29864	mannitol	C6H14O6
Na-glutamate	CHEBI:29988	L-glutamate(2-)	C5H7NO4
Na-Thioglycolate	CHEBI:30066	thioglycolate(1-)	C2H3O2S
Na-thioglycolate	CHEBI:30066	thioglycolate(1-)	C2H3O2S
AlCl3	CHEBI:30114	aluminium trichloride	AlCl3
AlCl3.6H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
AlCl3·6H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
AlCl3 x 6 H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
Thioctic acid	CHEBI:30314	(R)-lipoic acid	C8H14O2S2
SiO2	CHEBI:30563	silicon dioxide	O2Si
MoO3	CHEBI:30627	molybdenum trioxide	MoO3
Fe(III)·EDTA	CHEBI:30729	ethylenediaminetetraacetatoferrate(1-)	C10H12N2O8.Fe
Fe(III)-EDTA	CHEBI:30729	ethylenediaminetetraacetatoferrate(1-)	C10H12N2O8.Fe
Phenyl acetic acid	CHEBI:30745	phenylacetic acid	C8H8O2
p-Aminobenzoic acid	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
P-Aminobenzoic acid	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
PABA	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
Propionic acid	CHEBI:30768	propionic acid	C3H6O2
n-Butyric acid	CHEBI:30772	butyric acid	C4H8O2
Butyric acid	CHEBI:30772	butyric acid	C4H8O2
Capronic acid	CHEBI:30776	hexanoic acid	C6H12O2
Caproic acid	CHEBI:30776	hexanoic acid	C6H12O2
FeCl3	CHEBI:30808	iron trichloride	Cl3Fe
FeCl2	CHEBI:30812	iron dichloride	Cl2Fe
FeCl2 x 6 H2O	CHEBI:30812	iron dichloride	Cl2Fe
Sorbitol	CHEBI:30911	glucitol	C6H14O6
Na-tartrate	CHEBI:30924	L-tartrate(2-)	C4H4O6
KSCN	CHEBI:30951	potassium thiocyanate	CNS.K
Pyridoxine hydrochloride	CHEBI:30961	pyridoxine hydrochloride	C8H11NO3.HCl
NH4Cl	CHEBI:31206	ammonium chloride	Cl.H4N
NH4CL	CHEBI:31206	ammonium chloride	Cl.H4N
ammonium chloride	CHEBI:31206	ammonium chloride	Cl.H4N
NH4Cl2	CHEBI:31206	ammonium chloride	Cl.H4N
L-Arginine x HCl	CHEBI:31235		
L-Arginine x HCI	CHEBI:31235		
D-Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca
Hemicalcium D-(+)- pantothenate	CHEBI:31345		
Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca
D Calcium Panthothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca
DL-Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca
Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca
CuSO4 x 5 H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S
CuSO4.5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S
CuSO4 . 5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S
CuSO4·5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S
CuSO4*5 H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S
Ferric Ammonium Citrate	CHEBI:31604	ferric ammonium citrate	
Ammonium ferric citrate	CHEBI:31604	ferric ammonium citrate	
Ferric ammonium citrate	CHEBI:31604	ferric ammonium citrate	
Indigocarmine	CHEBI:31695	indigo carmine	C16H8N2O8S2.2Na
MgSO47H2O	CHEBI:31795	magnesium sulfate heptahydrate	7H2O.Mg.O4S
MgSO2 x 7 H2O	CHEBI:31795		
MgSO 4 x 7 H2O	CHEBI:31795		
MgSO4·H2O	CHEBI:31795		
MgSO x 7 H2O	CHEBI:31795		
.MgSO4 x 7 H2O	CHEBI:31795		
MgSO4x7H2O	CHEBI:31795	magnesium sulfate heptahydrate	7H2O.Mg.O4S
MgSO4.7H2O	CHEBI:31795	magnesium sulfate heptahydrate	7H2O.Mg.O4S
MgSO4 x 7 H20	CHEBI:31795		
Potassium acetate	CHEBI:32029	potassium acetate	C2H3O2.K
KBr	CHEBI:32030	potassium bromide	Br.K
KOH	CHEBI:32035	potassium hydroxide	HO.K
K2SO4	CHEBI:32036	potassium sulfate	2K.O4S
K2SO4·7H2O	CHEBI:32036	potassium sulfate	2K.O4S
Sodium acetate trihydrate	CHEBI:32138	sodium acetate trihydrate	C2H3O2.3H2O.Na
NaHCO3	CHEBI:32139	sodium hydrogencarbonate	CHO3.Na
sodium bicarbonate	CHEBI:32139		
Na3Citrate x 2 H2O	CHEBI:32142		
Na3-citrate x 2 H2O (0.6 g/l stock solution)	CHEBI:32142		
Trisodium Citrate Dihydrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Na3-citrate x 2 H2O	CHEBI:32142		
Na3‐citrate x 2H2O	CHEBI:32142		
Sodium citrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Na3-Citrate x 2 H2O	CHEBI:32142		
Sodium Citrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Sodiumcitrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Na3‐citrate x 2H2O	CHEBI:32142		
Na2citrate x 2 H2O	CHEBI:32142		
Trisodium citrate dehydrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
NaOH	CHEBI:32145	sodium hydroxide	HO.Na
Na2SeO4	CHEBI:32149	sodium sulfate	2Na.O4S
Na2SO4	CHEBI:32149	sodium sulfate	2Na.O4S
NaSO4	CHEBI:32149	sodium sulfate	2Na.O4S
Na2SO4 x 10 H2O	CHEBI:32149	sodium sulfate	2Na.O4S
Na2S2O3·5H2O	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
Na2S2O3x5H2O	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
Na2S2O3 x 5 H2O(24 % w/v)	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
Na2S2O3 x 5H2O	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
Na2S2O3 x 5 H2O (10% solution)	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
Na2S2O3 x 5 H2O	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
NaS2O3 x 5 H2O	CHEBI:32150		
Na2S2O3 x 5 H20	CHEBI:32150		
Na2S2O3	CHEBI:32150	sodium thiosulfate pentahydrate	5H2O.2Na.O3S2
ZnSO4*7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4*7 H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4.7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4·7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4-7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4 x 7 H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
Zn2SO4·7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
CaSO4·2H2O	CHEBI:32583	calcium sulfate dihydrate	Ca.2H2O.O4S
CaSO4 x 2 H2O	CHEBI:32583	calcium sulfate dihydrate	Ca.2H2O.O4S
CaSO4.2H2O	CHEBI:32583	calcium sulfate dihydrate	Ca.2H2O.O4S
potassium chloride	CHEBI:32588	potassium chloride	Cl.K
KCL	CHEBI:32588	potassium chloride	Cl.K
KCl	CHEBI:32588	potassium chloride	Cl.K
MgSO4 x 7 H2O solution (25%)	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x7 H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
Mg2SO4	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7 H2O (0.1% w/v)	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4  x 7 H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
Magnesium Sulfate	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7 H2O to 15.0 g).	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7 H2O (100 mM)	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 6 H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 7 H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSo4 x 7 H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
magnesium sulfate	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4·7H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
MgSO4 x 6H2O	CHEBI:32599	magnesium sulfate	Mg.O4S
Putrescine	CHEBI:326268	1,4-butanediammonium	C4H14N2
Arginine	CHEBI:32696	argininium(1+)	C6H15N4O2
Sodium Acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium acetate·3H2O	CHEBI:32954	sodium acetate	C2H3O2.Na
1 M Sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
CaCO3	CHEBI:3311	calcium carbonate	CO3.Ca
H3BO3	CHEBI:33118	boric acid	H3BO3
CaCl2 x 7 H2O	CHEBI:3312	calcium dichloride	Ca.2Cl
CaCl2	CHEBI:3312	calcium dichloride	Ca.2Cl
CaCl 2	CHEBI:3312	calcium dichloride	Ca.2Cl
Nutrients	CHEBI:33284	nutrient	
Casein	CHEBI:3448		
Na2HPO4 x 2H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4·6H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4 x 12 H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Disodium Phosphate	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2H2PO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4 x2 H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4 x 2 H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
Na2HPO4·2H2O	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na
NiCl2 x 2H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 2 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2·6H2O	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 6 H2O (0.1% w/v)	CHEBI:34887	nickel dichloride	Cl2Ni
NiCl2 x 6 H2O	CHEBI:34887	nickel dichloride	Cl2Ni
ZnSO4	CHEBI:35176	zinc sulfate	O4S.Zn
Zinc Sulfate	CHEBI:35176	zinc sulfate	O4S.Zn
Buffers	CHEBI:35225	buffer	
Na3VO4	CHEBI:35607	trisodium vanadate	3Na.O4V
