original_name	mapped_id	chebi_label	chebi_formula
Vitamin solution* (see Medium No.944)	ingredient:1855		
Vitamin-free casamino acids	CAS-RN:91079-40-2		
VitaminB12	CHEBI:176843	vitamin B12	
Vitamin B12  (4)	CHEBI:176843	vitamin B12	
Vitamin B12  (8)	CHEBI:176843	vitamin B12	
Vitamin B12  (9)	CHEBI:176843	vitamin B12	
VoSO4 x 2 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4 x 2 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4 x 5 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4 x 5 H2O (0.01% w/v)	CHEBI:132758	vanadyl sulfate pentahydrate	5H2O.O4S.OV
VOSO4 x H2O	PUBCHEM.COMPOUND:34007.0		
VOSO4 x n H2O	PUBCHEM.COMPOUND:34007.0		
VOSO4·xH2O	CHEBI:87020	vanadyl sulfate hydrate	(H2O)n.O5SV
